"","year","month","month.year","policy01","policy02","policy03","policy04","policy05","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","total.attention","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","entropy","herfindahl","date","entropy.ma3","entropy.ma6","epu"
"281",2008,2,Feb 2008,11,4,18,5,3,2,8,7,3,6,0,8,1,1,21,43,9,2,13,27,12,0,0,204,0.053921568627451,0.0196078431372549,0.0882352941176471,0.0245098039215686,0.0147058823529412,0.00980392156862745,0.0392156862745098,0.0343137254901961,0.0147058823529412,0.0294117647058824,0,0.0392156862745098,0.00490196078431373,0.00490196078431373,0.102941176470588,0.21078431372549,0.0441176470588235,0.00980392156862745,0.0637254901960784,0.132352941176471,0.0588235294117647,0,0,0.850612981651454,0.0544550173010381,2008-02-01,0.838935440607449,0.862681389271147,108.1046906
"282",2008,3,Mar 2008,3,2,10,5,2,4,7,7,0,5,0,7,2,4,15,30,7,3,12,22,10,0,0,157,0.0191082802547771,0.0127388535031847,0.0636942675159236,0.0318471337579618,0.0127388535031847,0.0254777070063694,0.0445859872611465,0.0445859872611465,0,0.0318471337579618,0,0.0445859872611465,0.0127388535031847,0.0254777070063694,0.0955414012738854,0.191082802547771,0.0445859872611465,0.0191082802547771,0.0764331210191083,0.140127388535032,0.0636942675159236,0,0,0.867967126126905,0.0463142520994767,2008-03-01,0.851770683197968,0.857031675272059,111.7123566
"283",2008,4,Apr 2008,4,4,14,8,9,4,16,8,3,16,0,12,2,3,30,40,10,1,19,16,14,0,0,233,0.0171673819742489,0.0171673819742489,0.0600858369098712,0.0343347639484979,0.0386266094420601,0.0171673819742489,0.0686695278969957,0.0343347639484979,0.0128755364806867,0.0686695278969957,0,0.0515021459227468,0.00858369098712446,0.0128755364806867,0.128755364806867,0.171673819742489,0.0429184549356223,0.00429184549356223,0.0815450643776824,0.0686695278969957,0.0600858369098712,0,0,0.883983031519672,0.0379045478826282,2008-04-01,0.85929005388918,0.851763295921224,102.196907
"284",2008,5,May 2008,2,7,23,1,4,5,14,11,4,9,0,7,2,4,22,15,6,3,11,17,7,0,0,174,0.0114942528735632,0.0402298850574713,0.132183908045977,0.00574712643678161,0.0229885057471264,0.028735632183908,0.0804597701149425,0.0632183908045977,0.0229885057471264,0.0517241379310345,0,0.0402298850574713,0.0114942528735632,0.0229885057471264,0.126436781609195,0.0862068965517241,0.0344827586206897,0.0172413793103448,0.0632183908045977,0.0977011494252874,0.0402298850574713,0,0,0.900297104649926,0.0304597701149425,2008-05-01,0.875975078823288,0.856086804102586,94.28403473
"285",2008,6,Jun 2008,6,12,16,2,6,3,10,15,2,11,0,9,2,5,25,16,6,2,18,7,8,0,0,181,0.0331491712707182,0.0662983425414365,0.0883977900552486,0.0110497237569061,0.0331491712707182,0.0165745856353591,0.0552486187845304,0.0828729281767956,0.0110497237569061,0.0607734806629834,0,0.0497237569060773,0.0110497237569061,0.0276243093922652,0.138121546961326,0.0883977900552486,0.0331491712707182,0.0110497237569061,0.0994475138121547,0.0386740331491713,0.0441988950276243,0,0,0.908601083216229,0.0270168798266231,2008-06-01,0.892140068084799,0.871157725738488,94.55675507
"286",2008,7,Jul 2008,6,12,22,4,4,2,10,16,2,10,0,11,7,2,23,32,5,2,13,18,11,0,0,212,0.0283018867924528,0.0566037735849057,0.10377358490566,0.0188679245283019,0.0188679245283019,0.00943396226415094,0.0471698113207547,0.0754716981132075,0.00943396226415094,0.0471698113207547,0,0.0518867924528302,0.0330188679245283,0.00943396226415094,0.108490566037736,0.150943396226415,0.0235849056603774,0.00943396226415094,0.0613207547169811,0.0849056603773585,0.0518867924528302,0,0,0.894216614766423,0.0324692951228195,2008-07-01,0.904449093933077,0.882292265432837,109.7889709
"287",2008,8,Aug 2008,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0.125,0,0,0,0,0,0.25,0.375,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0.490774881398672,0.2125,2008-08-01,0.901408848991326,0.891012992055831,95.87075806
"288",2008,9,Sep 2008,3,4,16,1,8,2,13,9,3,9,0,7,3,2,30,21,7,1,15,15,5,0,0,174,0.0172413793103448,0.0229885057471264,0.0919540229885057,0.00574712643678161,0.0459770114942529,0.0114942528735632,0.0747126436781609,0.0517241379310345,0.0172413793103448,0.0517241379310345,0,0.0402298850574713,0.0172413793103448,0.0114942528735632,0.172413793103448,0.120689655172414,0.0402298850574713,0.00574712643678161,0.0862068965517241,0.0862068965517241,0.028735632183908,0,0,0.874147022675095,0.0407946888624653,2008-09-01,0.692495748082547,0.815574543110184,187.7403107
"278",2008,10,Oct 2008,6,0,2,1,2,0,0,0,0,1,0,0,1,2,10,0,0,0,0,2,0,0,0,27,0.222222222222222,0,0.0740740740740741,0.037037037037037,0.0740740740740741,0,0,0,0,0.037037037037037,0,0,0.037037037037037,0.0740740740740741,0.37037037037037,0,0,0,0,0.0740740740740741,0,0,0,0.604193891358089,0.173251028806584,2008-10-01,0.682460952036884,0.813607341341269,189.9172821
"279",2008,11,Nov 2008,2,0,1,0,0,2,0,0,0,2,0,0,0,0,7,1,0,0,0,4,0,0,0,19,0.105263157894737,0,0.0526315789473684,0,0,0.105263157894737,0,0,0,0.105263157894737,0,0,0,0,0.368421052631579,0.0526315789473684,0,0,0,0.210526315789474,0,0,0,0.563892932655718,0.179778393351801,2008-11-01,0.739170457016592,0.754386698682902,148.8425751
