"","year","month","month.year","policy01","policy02","policy03","policy04","policy05","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","total.attention","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","entropy","herfindahl","date","entropy.ma3","entropy.ma6","epu"
"91",1992,4,Apr 1992,6,7,29,11,6,2,16,6,0,6,0,8,7,8,19,15,8,7,13,16,13,0,0,203,0.0295566502463054,0.0344827586206897,0.142857142857143,0.0541871921182266,0.0295566502463054,0.00985221674876847,0.0788177339901478,0.0295566502463054,0,0.0295566502463054,0,0.0394088669950739,0.0344827586206897,0.0394088669950739,0.0935960591133005,0.0738916256157636,0.0394088669950739,0.0344827586206897,0.0640394088669951,0.0788177339901478,0.0640394088669951,0,0,0.918093205484177,0.0235094275522337,1992-04-01,0.914103817364223,0.870160878745992,87.58229828
"92",1992,5,May 1992,5,8,22,2,10,3,24,3,2,3,0,15,6,6,16,23,8,14,15,26,24,0,0,235,0.0212765957446809,0.0340425531914894,0.0936170212765957,0.00851063829787234,0.0425531914893617,0.0127659574468085,0.102127659574468,0.0127659574468085,0.00851063829787234,0.0127659574468085,0,0.0638297872340425,0.025531914893617,0.025531914893617,0.0680851063829787,0.0978723404255319,0.0340425531914894,0.0595744680851064,0.0638297872340425,0.11063829787234,0.102127659574468,0,0,0.900915014968206,0.0280108646446356,1992-05-01,0.922730227804166,0.880565990345296,96.87494659
"93",1992,6,Jun 1992,4,5,20,8,2,6,11,6,0,11,0,11,5,3,24,11,8,7,17,15,11,0,0,185,0.0216216216216216,0.027027027027027,0.108108108108108,0.0432432432432432,0.0108108108108108,0.0324324324324324,0.0594594594594595,0.0324324324324324,0,0.0594594594594595,0,0.0594594594594595,0.027027027027027,0.0162162162162162,0.12972972972973,0.0594594594594595,0.0432432432432432,0.0378378378378378,0.0918918918918919,0.0810810810810811,0.0594594594594595,0,0,0.912925379305684,0.0243360116873631,1992-06-01,0.909504110226192,0.896259174221543,122.3491669
"94",1992,7,Jul 1992,8,2,12,9,3,2,12,2,4,5,0,9,1,2,15,12,3,7,7,12,15,0,0,142,0.0563380281690141,0.0140845070422535,0.0845070422535211,0.0633802816901408,0.0211267605633803,0.0140845070422535,0.0845070422535211,0.0140845070422535,0.028169014084507,0.0352112676056338,0,0.0633802816901408,0.00704225352112676,0.0140845070422535,0.105633802816901,0.0845070422535211,0.0211267605633803,0.0492957746478873,0.0492957746478873,0.0845070422535211,0.105633802816901,0,0,0.911479666274246,0.0242560999801627,1992-07-01,0.906920197136945,0.912028246897303,120.9149323
"95",1992,8,Aug 1992,1,0,5,3,4,1,7,1,1,4,0,9,4,1,12,8,1,3,7,8,7,0,0,87,0.0114942528735632,0,0.0574712643678161,0.0344827586206897,0.0459770114942529,0.0114942528735632,0.0804597701149425,0.0114942528735632,0.0114942528735632,0.0459770114942529,0,0.103448275862069,0.0459770114942529,0.0114942528735632,0.137931034482759,0.0919540229885057,0.0114942528735632,0.0344827586206897,0.0804597701149425,0.0919540229885057,0.0804597701149425,0,0,0.881668321491759,0.0328180737217598,1992-08-01,0.912202522789965,0.914156103231294,115.9075165
"96",1992,9,Sep 1992,8,9,15,4,9,4,10,2,0,5,0,6,1,4,7,11,5,7,13,11,6,0,0,137,0.0583941605839416,0.0656934306569343,0.109489051094891,0.0291970802919708,0.0656934306569343,0.0291970802919708,0.072992700729927,0.0145985401459854,0,0.0364963503649635,0,0.0437956204379562,0.0072992700729927,0.0291970802919708,0.0510948905109489,0.0802919708029197,0.0364963503649635,0.0510948905109489,0.0948905109489051,0.0802919708029197,0.0437956204379562,0,0,0.923633427184871,0.0190899888113378,1992-09-01,0.896573993883003,0.905016317504814,127.0196228
"86",1992,10,Oct 1992,1,1,6,2,1,2,2,0,0,1,0,3,1,1,0,3,1,2,4,4,0,0,0,35,0.0285714285714286,0.0285714285714286,0.171428571428571,0.0571428571428571,0.0285714285714286,0.0571428571428571,0.0571428571428571,0,0,0.0285714285714286,0,0.0857142857142857,0.0285714285714286,0.0285714285714286,0,0.0857142857142857,0.0285714285714286,0.0571428571428571,0.114285714285714,0.114285714285714,0,0,0,0.848919621776834,0.0434285714285714,1992-10-01,0.902650874338315,0.906124361844953,138.5217896
"87",1992,11,Nov 1992,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,11,0.0909090909090909,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.454545454545455,0,0.0909090909090909,0,0,0.547321499320052,0.21900826446281,1992-11-01,0.886276524480852,0.895725283206679,118.7768631
"88",1992,12,Dec 1992,1,0,3,1,2,1,1,0,0,2,0,0,0,0,1,4,2,1,0,1,1,0,0,21,0.0476190476190476,0,0.142857142857143,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0476190476190476,0,0,0.0952380952380952,0,0,0,0,0.0476190476190476,0.19047619047619,0.0952380952380952,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0,0,0.796670004671384,0.0571428571428571,1992-12-01,0.698120560548443,0.822604507209552,106.8679123
"97",1993,1,Jan 1993,3,1,4,0,0,0,0,0,0,2,0,0,2,1,3,1,1,0,2,26,5,0,0,51,0.0588235294117647,0.0196078431372549,0.0784313725490196,0,0,0,0,0,0,0.0392156862745098,0,0,0.0392156862745098,0.0196078431372549,0.0588235294117647,0.0196078431372549,0.0196078431372549,0,0.0392156862745098,0.509803921568627,0.0980392156862745,0,0,0.589098305456619,0.253171856978085,1993-01-01,0.671995751995718,0.79964257488898,102.5303268
"101",1993,2,Feb 1993,11,1,8,6,6,5,6,3,0,3,0,4,3,6,15,4,3,8,12,17,10,0,0,131,0.083969465648855,0.00763358778625954,0.0610687022900763,0.0458015267175573,0.0458015267175573,0.0381679389312977,0.0458015267175573,0.0229007633587786,0,0.0229007633587786,0,0.0305343511450382,0.0229007633587786,0.0458015267175573,0.114503816793893,0.0305343511450382,0.0229007633587786,0.0610687022900763,0.0916030534351145,0.129770992366412,0.0763358778625954,0,0,0.907773970190868,0.0261756307907465,1993-02-01,0.692884155064002,0.741128571681952,119.962532
"102",1993,3,Mar 1993,19,6,15,13,11,3,19,7,2,11,0,6,7,5,31,18,16,14,23,28,16,0,0,270,0.0703703703703704,0.0222222222222222,0.0555555555555556,0.0481481481481481,0.0407407407407407,0.0111111111111111,0.0703703703703704,0.0259259259259259,0.00740740740740741,0.0407407407407407,0,0.0222222222222222,0.0259259259259259,0.0185185185185185,0.114814814814815,0.0666666666666667,0.0592592592592593,0.0518518518518519,0.0851851851851852,0.103703703703704,0.0592592592592593,0,0,0.926892617900337,0.0201728395061729,1993-03-01,0.748436137823744,0.737956680283152,121.557869
"103",1993,4,Apr 1993,5,2,15,7,5,5,14,15,0,7,0,8,8,7,15,19,7,4,11,17,16,0,0,187,0.0267379679144385,0.0106951871657754,0.0802139037433155,0.0374331550802139,0.0267379679144385,0.0267379679144385,0.0748663101604278,0.0802139037433155,0,0.0374331550802139,0,0.0427807486631016,0.0427807486631016,0.0374331550802139,0.0802139037433155,0.101604278074866,0.0374331550802139,0.0213903743315508,0.0588235294117647,0.0909090909090909,0.0855614973262032,0,0,0.92342824006293,0.0195716205782264,1993-04-01,0.917333294045603,0.753551279507852,109.2568359
"104",1993,5,May 1993,3,6,17,6,5,6,13,10,0,14,0,5,4,8,21,19,8,13,8,37,17,0,0,220,0.0136363636363636,0.0272727272727273,0.0772727272727273,0.0272727272727273,0.0227272727272727,0.0272727272727273,0.0590909090909091,0.0454545454545455,0,0.0636363636363636,0,0.0227272727272727,0.0181818181818182,0.0363636363636364,0.0954545454545455,0.0863636363636364,0.0363636363636364,0.0590909090909091,0.0363636363636364,0.168181818181818,0.0772727272727273,0,0,0.900321130445638,0.0315268595041322,1993-05-01,0.925160428981634,0.828772627656428,133.5896606
"105",1993,6,Jun 1993,4,6,16,10,3,5,12,6,3,6,0,8,4,8,22,12,8,13,12,21,13,0,0,192,0.0208333333333333,0.03125,0.0833333333333333,0.0520833333333333,0.015625,0.0260416666666667,0.0625,0.03125,0.015625,0.03125,0,0.0416666666666667,0.0208333333333333,0.0416666666666667,0.114583333333333,0.0625,0.0416666666666667,0.0677083333333333,0.0625,0.109375,0.0677083333333333,0,0,0.934193324910763,0.0190999348958333,1993-06-01,0.911874685254284,0.849502852811278,126.0487671
"106",1993,7,Jul 1993,4,4,9,7,6,5,24,8,0,7,0,10,3,6,19,9,9,7,15,27,10,0,1,190,0.0210526315789474,0.0210526315789474,0.0473684210526316,0.0368421052631579,0.0315789473684211,0.0263157894736842,0.126315789473684,0.0421052631578947,0,0.0368421052631579,0,0.0526315789473684,0.0157894736842105,0.0315789473684211,0.1,0.0473684210526316,0.0473684210526316,0.0368421052631579,0.0789473684210526,0.142105263157895,0.0526315789473684,0,0.00526315789473684,0.913284168062445,0.0280664819944598,1993-07-01,0.917257227678201,0.918521856702107,117.5845108
"107",1993,8,Aug 1993,0,1,7,5,2,0,13,3,0,1,0,1,0,0,6,2,4,4,5,8,7,0,0,69,0,0.0144927536231884,0.101449275362319,0.072463768115942,0.0289855072463768,0,0.188405797101449,0.0434782608695652,0,0.0144927536231884,0,0.0144927536231884,0,0,0.0869565217391304,0.0289855072463768,0.0579710144927536,0.0579710144927536,0.072463768115942,0.115942028985507,0.101449275362319,0,0,0.813659017443295,0.0534341524889729,1993-08-01,0.923738746486604,0.919623896276422,106.0323639
"108",1993,9,Sep 1993,0,2,13,11,5,5,8,5,3,4,0,6,4,2,18,4,4,14,9,19,8,0,0,144,0,0.0138888888888889,0.0902777777777778,0.0763888888888889,0.0347222222222222,0.0347222222222222,0.0555555555555556,0.0347222222222222,0.0208333333333333,0.0277777777777778,0,0.0416666666666667,0.0277777777777778,0.0138888888888889,0.125,0.0277777777777778,0.0277777777777778,0.0972222222222222,0.0625,0.131944444444444,0.0555555555555556,0,0,0.900585377271813,0.0296006944444445,1993-09-01,0.86347159275287,0.896977176185014,106.2746887
"98",1993,10,Oct 1993,4,5,23,7,8,8,16,4,0,9,0,11,4,3,23,6,16,14,22,23,13,0,0,219,0.0182648401826484,0.0228310502283105,0.105022831050228,0.0319634703196347,0.0365296803652968,0.0365296803652968,0.0730593607305936,0.0182648401826484,0,0.0410958904109589,0,0.0502283105022831,0.0182648401826484,0.0136986301369863,0.105022831050228,0.0273972602739726,0.0730593607305936,0.0639269406392694,0.100456621004566,0.105022831050228,0.0593607305936073,0,0,0.907486905925235,0.0254206542816038,1993-10-01,0.857122197357554,0.892408603626791,84.48769379
"99",1993,11,Nov 1993,4,1,18,8,1,0,15,1,2,5,0,10,2,7,12,9,10,18,11,27,13,0,1,175,0.0228571428571429,0.00571428571428571,0.102857142857143,0.0457142857142857,0.00571428571428571,0,0.0857142857142857,0.00571428571428571,0.0114285714285714,0.0285714285714286,0,0.0571428571428571,0.0114285714285714,0.04,0.0685714285714286,0.0514285714285714,0.0571428571428571,0.102857142857143,0.0628571428571429,0.154285714285714,0.0742857142857143,0,0.00571428571428571,0.87874379873784,0.0351314285714286,1993-11-01,0.904036141598524,0.89384175872271,84.55661011
"100",1993,12,Dec 1993,0,0,4,1,0,0,1,0,1,1,0,1,0,4,2,2,4,0,1,2,5,0,0,29,0,0,0.137931034482759,0.0344827586206897,0,0,0.0344827586206897,0,0.0344827586206897,0.0344827586206897,0,0.0344827586206897,0,0.137931034482759,0.0689655172413793,0.0689655172413793,0.137931034482759,0,0.0344827586206897,0.0689655172413793,0.172413793103448,0,0,0.779353010463495,0.0636147443519619,1993-12-01,0.893115352331537,0.882751853488126,77.52033234
"109",1994,1,Jan 1994,2,0,14,1,0,3,1,0,0,0,0,2,2,0,7,4,3,3,3,8,2,0,0,55,0.0363636363636364,0,0.254545454545455,0.0181818181818182,0,0.0545454545454545,0.0181818181818182,0,0,0,0,0.0363636363636364,0.0363636363636364,0,0.127272727272727,0.0727272727272727,0.0545454545454545,0.0545454545454545,0.0545454545454545,0.145454545454545,0.0363636363636364,0,0,0.769942618890073,0.0815537190082644,1994-01-01,0.829048404600668,0.855965621968336,80.00980377
"113",1994,2,Feb 1994,19,2,30,7,3,3,9,6,1,5,0,5,4,10,17,25,11,8,13,41,11,0,0,230,0.0826086956521739,0.00869565217391304,0.130434782608696,0.0304347826086957,0.0130434782608696,0.0130434782608696,0.0391304347826087,0.0260869565217391,0.00434782608695652,0.0217391304347826,0,0.0217391304347826,0.0173913043478261,0.0434782608695652,0.0739130434782609,0.108695652173913,0.0478260869565217,0.0347826086956522,0.0565217391304348,0.178260869565217,0.0478260869565217,0,0,0.87450155182844,0.0430113421550095,1994-02-01,0.774647814676784,0.847222342257691,94.59269714
"114",1994,3,Mar 1994,3,6,29,12,10,5,13,15,0,17,0,13,9,8,23,36,13,11,17,30,22,0,0,292,0.0102739726027397,0.0205479452054795,0.0993150684931507,0.0410958904109589,0.0342465753424658,0.0171232876712329,0.0445205479452055,0.0513698630136986,0,0.0582191780821918,0,0.0445205479452055,0.0308219178082192,0.0273972602739726,0.0787671232876712,0.123287671232877,0.0445205479452055,0.0376712328767123,0.0582191780821918,0.102739726027397,0.0753424657534247,0,0,0.915736079352573,0.0231492775379996,1994-03-01,0.822222085359257,0.842005577169017,87.00631714
"115",1994,4,Apr 1994,2,3,27,6,3,6,10,8,0,9,0,13,4,6,16,22,3,1,14,22,16,0,0,191,0.0104712041884817,0.0157068062827225,0.141361256544503,0.031413612565445,0.0157068062827225,0.031413612565445,0.0523560209424084,0.0418848167539267,0,0.0471204188481675,0,0.0680628272251309,0.0209424083769634,0.031413612565445,0.0837696335078534,0.115183246073298,0.0157068062827225,0.00523560209424084,0.0732984293193717,0.115183246073298,0.0837696335078534,0,0,0.878188127723292,0.035626764617198,1994-04-01,0.895118815590507,0.843655411854484,100.4163666
"116",1994,5,May 1994,3,7,27,8,7,3,13,8,1,10,0,11,4,5,21,19,7,4,20,28,28,0,0,234,0.0128205128205128,0.0299145299145299,0.115384615384615,0.0341880341880342,0.0299145299145299,0.0128205128205128,0.0555555555555556,0.0341880341880342,0.00427350427350427,0.0427350427350427,0,0.047008547008547,0.0170940170940171,0.0213675213675214,0.0897435897435897,0.0811965811965812,0.0299145299145299,0.0170940170940171,0.0854700854700855,0.11965811965812,0.11965811965812,0,0,0.896311540072792,0.0313061582292352,1994-05-01,0.896962103537933,0.843544277651575,96.5273056
"117",1994,6,Jun 1994,8,5,17,6,3,1,24,6,2,10,0,9,1,6,19,6,9,8,18,22,24,0,0,204,0.0392156862745098,0.0245098039215686,0.0833333333333333,0.0294117647058824,0.0147058823529412,0.00490196078431373,0.117647058823529,0.0294117647058824,0.00980392156862745,0.0490196078431373,0,0.0441176470588235,0.00490196078431373,0.0294117647058824,0.0931372549019608,0.0294117647058824,0.0441176470588235,0.0392156862745098,0.0882352941176471,0.107843137254902,0.117647058823529,0,0,0.896229931618003,0.0303344867358708,1994-06-01,0.887249833898042,0.866935983573434,92.37978363
"118",1994,7,Jul 1994,5,2,14,4,9,3,14,7,1,8,0,7,4,4,11,6,6,5,17,27,27,0,0,181,0.0276243093922652,0.0110497237569061,0.0773480662983425,0.0220994475138122,0.0497237569060773,0.0165745856353591,0.0773480662983425,0.0386740331491713,0.00552486187845304,0.0441988950276243,0,0.0386740331491713,0.0220994475138122,0.0220994475138122,0.0607734806629834,0.0331491712707182,0.0331491712707182,0.0276243093922652,0.0939226519337017,0.149171270718232,0.149171270718232,0,0,0.892738584421603,0.0361191660816214,1994-07-01,0.896270735845397,0.89219344611902,85.37094879
"119",1994,8,Aug 1994,4,2,8,4,0,0,1,4,4,1,0,6,1,2,9,8,1,4,9,21,16,0,0,105,0.0380952380952381,0.019047619047619,0.0761904761904762,0.0380952380952381,0,0,0.00952380952380952,0.0380952380952381,0.0380952380952381,0.00952380952380952,0,0.0571428571428571,0.00952380952380952,0.019047619047619,0.0857142857142857,0.0761904761904762,0.00952380952380952,0.0380952380952381,0.0857142857142857,0.2,0.152380952380952,0,0,0.83303175471548,0.0561904761904762,1994-08-01,0.894484258019803,0.895840852637653,92.82605743
"120",1994,9,Sep 1994,3,6,3,1,5,3,9,4,2,2,0,5,4,3,18,15,8,4,20,26,6,0,0,147,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.00680272108843537,0.0340136054421769,0.0204081632653061,0.0612244897959184,0.0272108843537415,0.0136054421768707,0.0136054421768707,0,0.0340136054421769,0.0272108843537415,0.0204081632653061,0.122448979591837,0.102040816326531,0.054421768707483,0.0272108843537415,0.136054421768707,0.17687074829932,0.0408163265306122,0,0,0.870803273269657,0.0464528668610301,1994-09-01,0.862885169568542,0.879299987710234,90.63002777
"110",1994,10,Oct 1994,3,0,6,2,3,2,2,1,1,5,0,6,2,0,6,4,4,3,5,20,7,0,0,82,0.0365853658536585,0,0.0731707317073171,0.024390243902439,0.0365853658536585,0.024390243902439,0.024390243902439,0.0121951219512195,0.0121951219512195,0.0609756097560976,0,0.0731707317073171,0.024390243902439,0,0.0731707317073171,0.0487804878048781,0.0487804878048781,0.0365853658536585,0.0609756097560976,0.24390243902439,0.0853658536585366,0,0,0.852974776092477,0.0568114217727543,1994-10-01,0.851917513992569,0.877823016819507,76.49900055
"111",1994,11,Nov 1994,0,0,3,1,2,0,0,0,1,0,0,2,2,0,0,0,0,2,2,3,1,0,0,19,0,0,0.157894736842105,0.0526315789473684,0.105263157894737,0,0,0,0.0526315789473684,0,0,0.105263157894737,0.105263157894737,0,0,0,0,0.105263157894737,0.105263157894737,0.157894736842105,0.0526315789473684,0,0,0.733348011997767,0.0692520775623269,1994-11-01,0.861889024681067,0.869155664023444,91.77528381
"112",1994,12,Dec 1994,3,0,6,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,19,0.157894736842105,0,0.315789473684211,0,0,0,0,0,0,0,0,0.105263157894737,0.210526315789474,0,0,0.105263157894737,0,0,0.105263157894737,0,0,0,0,0.556545437939181,0.162326869806094,1994-12-01,0.793161394045122,0.836579280099397,91.7950058
"121",1995,1,Jan 1995,20,0,3,0,5,4,1,1,0,6,0,2,6,1,6,14,5,2,7,25,2,0,0,110,0.181818181818182,0,0.0272727272727273,0,0.0454545454545455,0.0363636363636364,0.00909090909090909,0.00909090909090909,0,0.0545454545454545,0,0.0181818181818182,0.0545454545454545,0.00909090909090909,0.0545454545454545,0.127272727272727,0.0454545454545455,0.0181818181818182,0.0636363636363636,0.227272727272727,0.0181818181818182,0,0,0.790546969449895,0.0773884297520661,1995-01-01,0.644946724968474,0.769340650802912,107.9549408
"125",1995,2,Feb 1995,13,1,8,7,9,3,4,8,1,12,0,8,8,3,12,12,3,2,13,37,13,0,0,177,0.0734463276836158,0.00564971751412429,0.0451977401129944,0.0395480225988701,0.0508474576271186,0.0169491525423729,0.0225988700564972,0.0451977401129944,0.00564971751412429,0.0677966101694915,0,0.0451977401129944,0.0451977401129944,0.0169491525423729,0.0677966101694915,0.0677966101694915,0.0169491525423729,0.0112994350282486,0.0734463276836158,0.209039548022599,0.0734463276836158,0,0,0.88392026952098,0.0419323949056784,1995-02-01,0.673546203694538,0.760843693749796,86.32306671
"126",1995,3,Mar 1995,10,2,15,14,3,5,21,8,5,11,0,10,12,2,24,23,9,5,21,30,15,0,0,245,0.0408163265306122,0.00816326530612245,0.0612244897959184,0.0571428571428571,0.0122448979591837,0.0204081632653061,0.0857142857142857,0.0326530612244898,0.0204081632653061,0.0448979591836735,0,0.0408163265306122,0.0489795918367347,0.00816326530612245,0.0979591836734694,0.0938775510204082,0.036734693877551,0.0204081632653061,0.0857142857142857,0.122448979591837,0.0612244897959184,0,0,0.914933819274815,0.0240816326530612,1995-03-01,0.837233619485438,0.76346709300006,78.09661865
"127",1995,4,Apr 1995,5,3,7,9,3,3,8,0,1,1,0,6,2,1,11,7,0,1,12,5,4,0,0,89,0.0561797752808989,0.0337078651685393,0.0786516853932584,0.101123595505618,0.0337078651685393,0.0337078651685393,0.0898876404494382,0,0.0112359550561798,0.0112359550561798,0,0.0674157303370786,0.0224719101123595,0.0112359550561798,0.123595505617978,0.0786516853932584,0,0.0112359550561798,0.134831460674157,0.0561797752808989,0.0449438202247191,0,0,0.870879541627026,0.0355005681100871,1995-04-01,0.899427044397897,0.775858901636528,65.99178314
"128",1995,5,May 1995,7,6,15,9,5,8,10,4,5,4,0,9,4,3,5,8,6,6,14,28,10,0,0,166,0.0421686746987952,0.036144578313253,0.0903614457831325,0.0542168674698795,0.0301204819277108,0.0481927710843374,0.0602409638554217,0.0240963855421687,0.0301204819277108,0.0240963855421687,0,0.0542168674698795,0.0240963855421687,0.0180722891566265,0.0301204819277108,0.0481927710843374,0.036144578313253,0.036144578313253,0.0843373493975904,0.168674698795181,0.0602409638554217,0,0,0.927800768346889,0.025598780664828,1995-05-01,0.89290668045092,0.80336520756238,74.70236206
"129",1995,6,Jun 1995,7,8,9,4,7,4,12,6,4,4,0,8,5,3,13,4,5,5,13,26,10,0,0,157,0.0445859872611465,0.0509554140127389,0.0573248407643312,0.0254777070063694,0.0445859872611465,0.0254777070063694,0.0764331210191083,0.0382165605095541,0.0254777070063694,0.0254777070063694,0,0.0509554140127389,0.0318471337579618,0.0191082802547771,0.0828025477707006,0.0254777070063694,0.0318471337579618,0.0318471337579618,0.0828025477707006,0.165605095541401,0.0636942675159236,0,0,0.927600930589104,0.0251856059069333,1995-06-01,0.899340154986958,0.877616273643921,79.6735611
"130",1995,7,Jul 1995,7,3,16,2,4,4,5,8,0,5,0,13,2,1,12,4,3,2,18,22,13,0,0,144,0.0486111111111111,0.0208333333333333,0.111111111111111,0.0138888888888889,0.0277777777777778,0.0277777777777778,0.0347222222222222,0.0555555555555556,0,0.0347222222222222,0,0.0902777777777778,0.0138888888888889,0.00694444444444444,0.0833333333333333,0.0277777777777778,0.0208333333333333,0.0138888888888889,0.125,0.152777777777778,0.0902777777777778,0,0,0.869086164441127,0.0405381944444445,1995-07-01,0.927700849467997,0.905027065871763,83.0381012
"131",1995,8,Aug 1995,1,1,5,1,1,0,3,3,1,2,0,4,1,1,10,0,0,0,9,11,8,0,0,62,0.0161290322580645,0.0161290322580645,0.0806451612903226,0.0161290322580645,0.0161290322580645,0,0.0483870967741935,0.0483870967741935,0.0161290322580645,0.032258064516129,0,0.0645161290322581,0.0161290322580645,0.0161290322580645,0.161290322580645,0,0,0,0.145161290322581,0.17741935483871,0.129032258064516,0,0,0.78670500424845,0.0690946930280957,1995-08-01,0.898343547515115,0.902060244855792,66.76376343
"132",1995,9,Sep 1995,3,2,6,0,1,1,3,3,2,5,0,6,1,2,13,4,6,2,8,13,5,0,0,86,0.0348837209302326,0.0232558139534884,0.0697674418604651,0,0.0116279069767442,0.0116279069767442,0.0348837209302326,0.0348837209302326,0.0232558139534884,0.0581395348837209,0,0.0697674418604651,0.0116279069767442,0.0232558139534884,0.151162790697674,0.0465116279069767,0.0697674418604651,0.0232558139534884,0.0930232558139535,0.151162790697674,0.0581395348837209,0,0,0.880062173061084,0.0383044889129259,1995-09-01,0.827895584344788,0.876414481850519,75.22517395
"122",1995,10,Oct 1995,3,0,5,3,2,4,6,2,0,2,0,8,0,3,18,5,6,4,11,14,4,0,0,100,0.03,0,0.05,0.03,0.02,0.04,0.06,0.02,0,0.02,0,0.08,0,0.03,0.18,0.05,0.06,0.04,0.11,0.14,0.04,0,0,0.854826103474417,0.04597,1995-10-01,0.833383588654767,0.878251008137331,80.62604523
"123",1995,11,Nov 1995,1,4,1,1,1,1,3,5,0,2,0,2,0,1,9,4,3,1,11,16,11,0,0,77,0.012987012987013,0.051948051948052,0.012987012987013,0.012987012987013,0.012987012987013,0.012987012987013,0.038961038961039,0.0649350649350649,0,0.025974025974026,0,0.025974025974026,0,0.012987012987013,0.116883116883117,0.051948051948052,0.038961038961039,0.012987012987013,0.142857142857143,0.207792207792208,0.142857142857143,0,0,0.80656274065299,0.0684769775678867,1995-11-01,0.86744413826775,0.863656075162836,90.53282166
"124",1995,12,Dec 1995,2,1,1,2,6,2,6,2,1,2,0,4,1,0,5,2,0,2,14,10,4,0,0,67,0.0298507462686567,0.0149253731343284,0.0149253731343284,0.0298507462686567,0.0895522388059701,0.0298507462686567,0.0895522388059701,0.0298507462686567,0.0149253731343284,0.0298507462686567,0,0.0597014925373134,0.0149253731343284,0,0.0746268656716418,0.0298507462686567,0,0.0298507462686567,0.208955223880597,0.149253731343284,0.0597014925373134,0,0,0.840261347999545,0.0568946313210069,1995-12-01,0.830694422063704,0.839448437175614,84.347229
"133",1996,1,Jan 1996,1,0,1,0,1,1,2,1,0,0,0,4,0,1,4,0,2,0,3,7,3,0,0,31,0.032258064516129,0,0.032258064516129,0,0.032258064516129,0.032258064516129,0.0645161290322581,0.032258064516129,0,0,0,0.129032258064516,0,0.032258064516129,0.129032258064516,0,0.0645161290322581,0,0.0967741935483871,0.225806451612903,0.0967741935483871,0,0,0.76687290713658,0.073465140478668,1996-01-01,0.823412044326268,0.833683473887297,90.66317749
"137",1996,2,Feb 1996,2,1,10,2,4,1,2,5,2,4,0,4,1,1,13,6,3,1,6,21,7,0,0,96,0.0208333333333333,0.0104166666666667,0.104166666666667,0.0208333333333333,0.0416666666666667,0.0104166666666667,0.0208333333333333,0.0520833333333333,0.0208333333333333,0.0416666666666667,0,0.0416666666666667,0.0104166666666667,0.0104166666666667,0.135416666666667,0.0625,0.03125,0.0104166666666667,0.0625,0.21875,0.0729166666666667,0,0,0.85271324303713,0.0564127604166667,1996-02-01,0.803567127568063,0.829717054464923,75.83462524
"138",1996,3,Mar 1996,6,1,6,10,5,1,5,7,0,17,0,13,1,2,16,31,11,6,24,45,9,0,0,216,0.0277777777777778,0.00462962962962963,0.0277777777777778,0.0462962962962963,0.0231481481481481,0.00462962962962963,0.0231481481481481,0.0324074074074074,0,0.0787037037037037,0,0.0601851851851852,0.00462962962962963,0.00925925925925926,0.0740740740740741,0.143518518518519,0.0509259259259259,0.0277777777777778,0.111111111111111,0.208333333333333,0.0416666666666667,0,0,0.834272431551782,0.0578446502057613,1996-03-01,0.809793075086855,0.824247268460133,72.6524353
"139",1996,4,Apr 1996,5,4,14,2,3,2,7,1,0,8,0,2,0,1,20,7,6,3,11,13,13,0,0,122,0.040983606557377,0.0327868852459016,0.114754098360656,0.0163934426229508,0.0245901639344262,0.0163934426229508,0.0573770491803279,0.00819672131147541,0,0.0655737704918033,0,0.0163934426229508,0,0.00819672131147541,0.163934426229508,0.0573770491803279,0.0491803278688525,0.0245901639344262,0.0901639344262295,0.10655737704918,0.10655737704918,0,0,0.853970732920612,0.0435434023112067,1996-04-01,0.843492837294456,0.820136534075605,69.19065094
"140",1996,5,May 1996,3,0,9,6,2,0,6,12,1,6,0,11,4,0,18,6,4,6,15,23,4,0,0,136,0.0220588235294118,0,0.0661764705882353,0.0441176470588235,0.0147058823529412,0,0.0441176470588235,0.0882352941176471,0.00735294117647059,0.0441176470588235,0,0.0808823529411765,0.0294117647058824,0,0.132352941176471,0.0441176470588235,0.0294117647058824,0.0441176470588235,0.110294117647059,0.169117647058824,0.0294117647058824,0,0,0.850891819581013,0.044577205882353,1996-05-01,0.844121582236197,0.82961813252913,69.42778778
